Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,Ca Wt%,Cu Wt%,K Wt%,Al Wt%,Cr Wt%,Fe Wt%,Ti Wt%,Zn Wt%
2,Sea aerosol (Cl),0.264484828,58803.0,81.87375665,11.64770275,0.0,0.0,0.0,0.0,6.478536874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Sea aerosol (Cl),0.213590767,59029.0,87.04844117,5.797579885,0.0,0.0,0.0,0.0,3.628570214,0.0,3.52541469,0.0,0.0,0.0,0.0,0.0,0.0
4,Cl,0.203876959,58159.0,95.83655,0.0,0.0,0.0,0.0,0.0,4.163450748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Sea aerosol (Cl),0.250710235,60750.0,84.67077017,10.48877984,0.0,0.0,0.0,0.0,4.840455577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Sea aerosol (Cl),0.281205312,55027.0,59.87829566,17.74456203,4.238607362,0.0,0.0,0.0,18.13854128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Sea aerosol (Cl),0.233976963,52574.0,70.2331543,19.49616075,0.0,0.0,0.0,0.0,10.27069241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Sea aerosol (Cl),0.542219607,54477.0,60.97759008,22.43901193,2.033601515,0.0,0.0,0.0,12.65431046,0.0,1.895487867,0.0,0.0,0.0,0.0,0.0,0.0
18,Sea aerosol (Cl),0.315202212,53726.0,71.5249598,18.44987571,0.0,0.0,0.0,0.0,10.02515927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Sea aerosol (Cl),0.411466473,52773.0,67.96646118,19.88111138,0.0,0.0,0.0,0.0,12.15243563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Sea aerosol (Cl),0.28832556,61601.0,70.40828466,18.70133281,0.0,0.0,0.0,0.0,10.89038402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Sea aerosol (Cl),0.386042293,62792.0,67.35104322,20.63756436,0.0,0.0,0.0,0.0,12.01138645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Sea aerosol (Cl),0.477603475,55958.0,66.84521437,22.10419774,0.0,0.0,0.0,0.0,11.05058938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Sea aerosol (Cl),0.450288874,53915.0,66.23069048,20.08248717,2.119452879,0.0,0.0,0.0,11.56736389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Sea aerosol (Cl),0.518321419,57922.0,63.29401731,21.86288089,2.509216778,0.0,0.0,0.0,12.33388409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Sea aerosol (Cl),0.332421778,53310.0,71.9527781,16.64207727,2.562802471,0.0,0.0,0.0,8.842331171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Oxigen+Cu(trace),0.222881622,54129.0,91.17202163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.827973157,0.0,0.0,0.0,0.0,0.0,0.0
39,Oxygen only,0.610801547,52581.0,99.99999404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Oxigen+Cu(trace),0.308702499,55471.0,90.19256234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.807438403,0.0,0.0,0.0,0.0,0.0,0.0
43,No Classification,0.256704154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Sea aerosol (Cl),0.218285631,53070.0,69.21666265,19.24348772,0.0,0.0,0.0,0.0,11.53985262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
