Id,Class,Area (µm²),Aspect Ratio,Breadth (µm),Direction (°),ECD (µm),Length (µm),Perimeter (µm),Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Si Wt%,Si Wt% ?,P Wt%,P Wt% ?,S Wt%,S Wt% ?,Cl Wt%,Cl Wt% ?,Ca Wt%,Ca Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
2,Sea aerosol (Cl),0.054940348,1.557169447,0.227048963,118.125,0.264484828,0.353553708,0.88852059,58803,81.87375665,1.619450189,11.64770275,1.533191092,,,,,,,,,6.478536874,0.691526197,,,,,,,,,,,,,,
3,Sea aerosol (Cl),0.035830662,1.863329641,0.169306024,99.84375,0.213590767,0.315472932,0.759350366,59029,87.04844117,1.962298527,5.797579885,1.696559042,,,,,,,,,3.628570214,0.618781894,,,3.52541469,1.080452744,,,,,,,,,,
4,Cl,0.032645714,1.581133141,0.169306024,108.28125,0.203876959,0.267695365,0.661522094,58159,95.83655,0.8335297,,,,,,,,,,,4.163450748,0.833529606,,,,,,,,,,,,,,
5,Sea aerosol (Cl),0.04936669,1.379393754,0.239434875,70.3125,0.250710235,0.330274971,0.835016531,60750,84.67077017,1.601694711,10.48877984,1.529856492,,,,,,,,,4.840455577,0.637643598,,,,,,,,,,,,,,
8,Sea aerosol (Cl),0.062106481,1.965230422,0.219157303,120.9375,0.281205312,0.430694599,1.002019837,55027,59.87829566,1.277669054,17.74456203,0.872649532,4.238607362,0.522173056,,,,,,,18.13854128,0.679140072,,,,,,,,,,,,,,
13,Sea aerosol (Cl),0.042996794,2.444789923,0.160760841,111.09375,0.233976963,0.393026483,0.919862541,52574,70.2331543,1.428699214,19.49616075,1.250612736,,,,,,,,,10.27069241,0.662833406,,,,,,,,,,,,,,
15,Sea aerosol (Cl),0.230908711,1.907490615,0.489930608,119.53125,0.542219607,0.934538036,2.485576201,54477,60.97759008,1.492079999,22.43901193,1.15197869,2.033601515,0.636746082,,,,,,,12.65431046,0.629588822,,,1.895487867,0.591552351,,,,,,,,,,
18,Sea aerosol (Cl),0.07803122,2.157825698,0.225741365,80.15625,0.315202212,0.487110518,1.156040882,53726,71.5249598,1.339730714,18.44987571,1.179155894,,,,,,,,,10.02515927,0.627673743,,,,,,,,,,,,,,
20,Sea aerosol (Cl),0.132971568,2.031240023,0.320698679,108.28125,0.411466473,0.651415992,1.587875766,52773,67.96646118,1.455474086,19.88111138,1.24810636,,,,,,,,,12.15243563,0.694101304,,,,,,,,,,,,,,
26,Sea aerosol (Cl),0.065291429,1.640354527,0.239598499,111.09375,0.28832556,0.393026483,0.9733666,61601,70.40828466,1.299763191,18.70133281,1.132125687,,,,,,,,,10.89038402,0.608315738,,,,,,,,,,,,,,
28,Sea aerosol (Cl),0.117046829,1.824987328,0.308055213,106.875,0.386042293,0.562196861,1.360877271,62792,67.35104322,1.41704632,20.63756436,1.212109346,,,,,,,,,12.01138645,0.669694692,,,,,,,,,,,,,,
29,Sea aerosol (Cl),0.17915331,1.425209375,0.45148273,105.46875,0.477603475,0.643457419,1.625708849,55958,66.84521437,1.202853117,22.10419774,1.035862882,,,,,,,,,11.05058938,0.549361808,,,,,,,,,,,,,,
