Id,Class,Subclass,Area (æmý),Aspect Ratio,Breadth (æm),ECD (æm),Shape,Stage X,Stage Y,Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Al Wt%,Al Wt% ?,Si Wt%,Si Wt% ?,Cl Wt%,Cl Wt% ?,K Wt%,K Wt% ?,Ca Wt%,Ca Wt% ?,Ti Wt%,Ti Wt% ?,Fe Wt%,Fe Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
1,Sillica mixtures ,,0.291630666,1.389650839,0.548724976,0.609356789,1.058427867,6.797231811,-11.57941366,58625,85.03905535,2.275450714,,,,,3.228698671,2.400591597,8.812864125,0.640420057,,,,,,,,,2.919378504,0.616047857,,,,,,,,,,,,
2,Aluminosillicates,Si rich,3.780463781,1.278167675,2.167994445,2.193954417,2.405797303,6.785716289,-11.57615083,60892,74.59080815,1.10968221,2.688569576,0.413241005,1.501244772,0.263523171,2.714030258,1.042673271,10.17390043,0.377485179,,,,,2.615530044,0.178820454,0.923436321,0.154361397,4.792487249,0.297095696,,,,,,,,,,,,
3,Sillica mixtures ,,0.280895794,1.232057277,0.568278722,0.598036482,1.072820186,6.796356522,-11.57015306,53384,85.31578183,1.045938022,,,,,,,6.53289184,0.645792857,,,,,,,,,8.151332289,0.849826727,,,,,,,,,,,,
4,False Si ,,0.075144098,2.466086512,0.209365845,0.309316079,1.395649345,6.797192038,-11.56685113,58162,96.19347453,1.203424856,,,,,,,3.806526586,1.203425415,,,,,,,,,,,,,,,,,,,,,,
5,Aluminosillicates,Si rich,4.047046414,1.512476994,1.936090568,2.269991087,1.204060484,6.770162898,-11.56672521,51957,79.32293415,1.227750629,,,0.997207407,0.281265774,3.175747767,1.279838756,10.51206663,0.394366821,,,,,,,,,4.90501523,0.337217632,1.087027974,0.323396758,,,,,,,,,,
6,Sillica mixtures ,,0.502749798,1.379393754,0.717825755,0.800075574,1.067816808,6.771298634,-11.55136726,58318,81.18317723,1.684643514,2.691271901,0.670563336,,,3.293976188,1.702018455,8.735657483,0.475913379,,,,,2.458020113,0.275809062,,,1.637895592,0.370133738,,,,,,,,,,,,
7,False Si ,,0.078722388,1.649242077,0.299094064,0.316595101,1.420071394,6.838335839,-11.5910388,58471,96.10854983,0.952398591,,,,,,,3.891449422,0.952398311,,,,,,,,,,,,,,,,,,,,,,
8,Sillica mixtures ,,1.377641794,1.279203569,1.244707102,1.324412327,1.135621804,6.824408925,-11.58765671,54969,78.96769643,0.868977793,,,2.862678654,0.39872122,0,1.411802601,8.291325718,0.417346228,,,,,2.870132588,0.252070348,1.51277259,0.246978295,5.495401844,0.428473251,,,,,,,,,,,,
9,Aluminosillicates,Si rich,23.97633465,1.936727035,5.022295326,5.525180307,4.604674979,6.8312078,-11.58412441,59858,73.6771524,0.966404937,2.446917817,0.325938105,1.68136172,0.208761916,5.446378142,0.918681361,10.69955155,0.338674476,,,,,2.220196463,0.14897174,0.522215618,0.121291063,3.306224197,0.230392441,,,,,,,,,,,,
10,Sillica mixtures ,,0.254058617,1.455213597,0.508459909,0.568750804,1.106531826,6.83563102,-11.57840011,55362,83.97294283,1.126345526,,,,,,,7.314667851,0.552311214,,,,,2.082510665,0.366083113,,,4.313525558,0.603256328,2.316352911,0.781691261,,,,,,,,,,
11,Aluminosillicates,Si rich,1.930487657,1.537927236,1.311246935,1.567792469,1.138516235,6.82647562,-11.57242271,60856,76.83320045,1.105416007,6.575284153,0.474663125,,,5.495255068,1.12738749,10.03171802,0.358531065,,,,,1.064542215,0.148249127,,,,,,,,,,,,,,,,
12,Sillica mixtures ,,0.397190232,1.875069071,0.565287985,0.711138741,1.269423022,6.863178846,-11.57619474,58224,82.79429078,0.908206403,,,3.522025794,0.554422894,,,7.553381473,0.470226118,,,,,3.082921728,0.335261668,,,3.04737743,0.463108299,,,,,,,,,,,,
13,Aluminosillicates,Si rich,1.028758483,1.37364315,1.015694895,1.144489398,1.096378275,6.862103985,-11.57069934,55773,78.47818136,1.440416556,1.932861283,0.532074925,,,7.20782578,1.460799109,9.332939982,0.437494274,,,,,3.048184328,0.251490762,,,,,,,,,,,,,,,,
14,Sillica mixtures ,,0.622622525,2.671922637,0.580571934,0.890363757,1.526627113,6.87034903,-11.56970037,58684,79.47306633,0.789050385,,,5.183934048,0.453331787,,,8.818777651,0.415693456,,,,,3.454466164,0.278796372,,,3.069763072,0.375196687,,,,,,,,,,,,
15,Sillica mixtures ,,1.86607843,1.916781122,1.18033083,1.541416508,1.366360734,6.856832911,-11.56246782,58648,77.42861509,0.924831163,,,3.345795721,0.268966355,1.488455571,0.847651903,8.105350286,0.308240508,,,,,4.628060758,0.217248593,0.778119406,0.142653589,4.22559604,0.273991236,,,,,,,,,,,,
16,False Si ,,0.089457259,1.523041405,0.299094064,0.337491511,1.105475964,6.873701808,-11.5598765,55241,93.97779703,1.231951918,,,,,,,6.022201478,1.23195257,,,,,,,,,,,,,,,,,,,,,,
17,Sillica mixtures ,,11.3557045,1.450697265,3.367106517,3.802437643,1.270333435,6.870702528,-11.56111265,52846,67.98685789,0.881687924,,,5.682420358,0.270243711,1.226266008,0.676923012,12.72778064,0.368572585,,,,,6.445723027,0.230293511,0.508622034,0.109869731,5.422326922,0.270020473,,,,,,,,,,,,
18,Oxigen+Cu(trace),,0.309522117,2.277904056,0.604551633,0.627770499,3.472015396,6.871956204,-11.55628665,55327,87.78274655,3.114354983,,,,,,,,,,,,,,,,,,,12.21725196,3.114354238,,,,,,,,,,
19,Metallic Fe,,0.499171507,1.341373529,0.7190709,0.797223245,1.08689718,6.881932257,-11.55426704,54234,76.26828551,1.028611697,,,,,,,2.075622045,0.343401404,,,,,,,3.875994682,0.376881589,17.78009534,0.845702924,,,,,,,,,,,,
20,Aluminosillicates,Si rich,2.281160114,1.481853931,1.511463323,1.704248592,1.27490856,6.917613463,-11.5898926,53754,76.98931694,1.134552434,3.813258186,0.443077087,,,5.55126965,1.139806304,10.17447561,0.373559608,,,0.561219361,0.135250087,1.467452943,0.158688112,,,1.443001162,0.211598445,,,,,,,,,,,,
21,Aluminosillicates,Si rich,0.819428496,1.17427744,1.014925886,1.02143466,1.231774224,6.890071122,-11.58799177,58591,79.91221547,1.376884338,,,,,3.598152474,1.442057267,9.905096143,0.455687381,,,,,1.477355883,0.226671319,,,5.107187107,0.426615356,,,,,,,,,,,,
22,Aluminosillicates,Si rich,1.379430939,1.35730768,1.245287569,1.325272056,1.37812253,6.894892433,-11.58776501,59405,80.74499369,1.719788834,2.552174591,0.6926334,,,4.926263541,1.741362736,9.025738388,0.504368776,,,,,2.75082998,0.296571269,,,,,,,,,,,,,,,,
23,Oxigen+Cu(trace),,0.073354953,2.155192176,0.228879133,0.305611562,1.429689573,6.909904099,-11.58640623,53346,89.62110877,2.846009657,,,,,,,,,,,,,,,,,,,10.37889868,2.846009657,,,,,,,,,,
24,Aluminosillicates,Si rich,6.965142214,1.60820538,2.742601715,2.977968183,2.246891578,6.888711423,-11.58605034,54373,74.13569093,1.036290452,2.492798679,0.381675549,2.573559992,0.262433686,4.177798703,1.015636045,11.01436839,0.368879572,,,,,3.163006902,0.184693758,,,2.442775853,0.234240177,,,,,,,,,,,,
25,Aluminosillicates,Si rich,7.720161483,1.83653003,2.50271975,3.135221666,1.488502655,6.9219474,-11.58268813,52130,73.89878035,0.898210239,5.590903386,0.354658114,,,6.308528781,0.905558933,11.89995185,0.332154427,,,,,1.551780291,0.119659805,,,0.750057027,0.136787375,,,,,,,,,,,,
26,Aluminosillicates,Si rich,2.542375311,1.168877215,1.76465498,1.799181143,1.141762606,6.916017233,-11.5800421,54881,81.13743067,1.616596431,,,,,3.929853439,1.657822728,7.13513419,0.449292455,,,,,1.123246551,0.23663172,0.963628944,0.249354937,5.71070686,0.486362027,,,,,,,,,,,,
27,Sillica mixtures ,,0.28626323,1.521242411,0.534837437,0.603723169,1.167881862,6.916307829,-11.57830694,53286,82.86655545,1.077420544,,,,,0,2.891202085,10.33628061,0.700638676,,,,,1.609257236,0.417381153,,,5.187905952,0.723674567,,,,,,,,,,,,
28,Sillica mixtures ,,1.082432838,1.160327056,1.187378951,1.173966053,1.209692115,6.898621743,-11.5766287,58153,80.42939305,1.819155179,,,,,0.998486765,1.997745596,6.481635571,0.47057285,,,,,,,,,12.09048554,0.715228776,,,,,,,,,,,,
29,Metallic Fe,,0.450864587,1.349097326,0.676772612,0.757666564,1.039819053,6.91832354,-11.57369003,56196,76.17557645,0.979457982,,,,,,,3.013611585,0.361041795,,,,,,,2.301662602,0.321414648,18.50914359,0.82669938,,,,,,,,,,,,
30,Sillica mixtures ,,0.506328088,1.158444898,0.800779805,0.802917769,1.033321333,6.885073235,-11.57252634,55326,81.43455982,0.81665162,,,4.013778269,0.484638102,,,7.76854232,0.424135337,,,,,3.721292689,0.299570221,,,3.061835282,0.393829122,,,,,,,,,,,,
