Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Fe Wt%,Cu Wt%,P Wt%,Mn Wt%,Zn Wt%,S Wt%,Cr Wt%
1,Sillica mixtures ,0.609356789,58625.0,85.03905535,0.0,0.0,3.228698671,8.812864125,0.0,0.0,0.0,0.0,2.919378504,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminosillicates,2.193954417,60892.0,74.59080815,2.688569576,1.501244772,2.714030258,10.17390043,0.0,0.0,2.615530044,0.923436321,4.792487249,0.0,0.0,0.0,0.0,0.0,0.0
3,Sillica mixtures ,0.598036482,53384.0,85.31578183,0.0,0.0,0.0,6.53289184,0.0,0.0,0.0,0.0,8.151332289,0.0,0.0,0.0,0.0,0.0,0.0
4,False Si ,0.309316079,58162.0,96.19347453,0.0,0.0,0.0,3.806526586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminosillicates,2.269991087,51957.0,79.32293415,0.0,0.997207407,3.175747767,10.51206663,0.0,0.0,0.0,0.0,4.90501523,1.087027974,0.0,0.0,0.0,0.0,0.0
6,Sillica mixtures ,0.800075574,58318.0,81.18317723,2.691271901,0.0,3.293976188,8.735657483,0.0,0.0,2.458020113,0.0,1.637895592,0.0,0.0,0.0,0.0,0.0,0.0
7,False Si ,0.316595101,58471.0,96.10854983,0.0,0.0,0.0,3.891449422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Sillica mixtures ,1.324412327,54969.0,78.96769643,0.0,2.862678654,0.0,8.291325718,0.0,0.0,2.870132588,1.51277259,5.495401844,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminosillicates,5.525180307,59858.0,73.6771524,2.446917817,1.68136172,5.446378142,10.69955155,0.0,0.0,2.220196463,0.522215618,3.306224197,0.0,0.0,0.0,0.0,0.0,0.0
10,Sillica mixtures ,0.568750804,55362.0,83.97294283,0.0,0.0,0.0,7.314667851,0.0,0.0,2.082510665,0.0,4.313525558,2.316352911,0.0,0.0,0.0,0.0,0.0
11,Aluminosillicates,1.567792469,60856.0,76.83320045,6.575284153,0.0,5.495255068,10.03171802,0.0,0.0,1.064542215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Sillica mixtures ,0.711138741,58224.0,82.79429078,0.0,3.522025794,0.0,7.553381473,0.0,0.0,3.082921728,0.0,3.04737743,0.0,0.0,0.0,0.0,0.0,0.0
13,Aluminosillicates,1.144489398,55773.0,78.47818136,1.932861283,0.0,7.20782578,9.332939982,0.0,0.0,3.048184328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Sillica mixtures ,0.890363757,58684.0,79.47306633,0.0,5.183934048,0.0,8.818777651,0.0,0.0,3.454466164,0.0,3.069763072,0.0,0.0,0.0,0.0,0.0,0.0
15,Sillica mixtures ,1.541416508,58648.0,77.42861509,0.0,3.345795721,1.488455571,8.105350286,0.0,0.0,4.628060758,0.778119406,4.22559604,0.0,0.0,0.0,0.0,0.0,0.0
16,False Si ,0.337491511,55241.0,93.97779703,0.0,0.0,0.0,6.022201478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Sillica mixtures ,3.802437643,52846.0,67.98685789,0.0,5.682420358,1.226266008,12.72778064,0.0,0.0,6.445723027,0.508622034,5.422326922,0.0,0.0,0.0,0.0,0.0,0.0
18,Oxigen+Cu(trace),0.627770499,55327.0,87.78274655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21725196,0.0,0.0,0.0,0.0,0.0
19,Metallic Fe,0.797223245,54234.0,76.26828551,0.0,0.0,0.0,2.075622045,0.0,0.0,0.0,3.875994682,17.78009534,0.0,0.0,0.0,0.0,0.0,0.0
20,Aluminosillicates,1.704248592,53754.0,76.98931694,3.813258186,0.0,5.55126965,10.17447561,0.0,0.561219361,1.467452943,0.0,1.443001162,0.0,0.0,0.0,0.0,0.0,0.0
21,Aluminosillicates,1.02143466,58591.0,79.91221547,0.0,0.0,3.598152474,9.905096143,0.0,0.0,1.477355883,0.0,5.107187107,0.0,0.0,0.0,0.0,0.0,0.0
22,Aluminosillicates,1.325272056,59405.0,80.74499369,2.552174591,0.0,4.926263541,9.025738388,0.0,0.0,2.75082998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Oxigen+Cu(trace),0.305611562,53346.0,89.62110877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37889868,0.0,0.0,0.0,0.0,0.0
24,Aluminosillicates,2.977968183,54373.0,74.13569093,2.492798679,2.573559992,4.177798703,11.01436839,0.0,0.0,3.163006902,0.0,2.442775853,0.0,0.0,0.0,0.0,0.0,0.0
25,Aluminosillicates,3.135221666,52130.0,73.89878035,5.590903386,0.0,6.308528781,11.89995185,0.0,0.0,1.551780291,0.0,0.750057027,0.0,0.0,0.0,0.0,0.0,0.0
26,Aluminosillicates,1.799181143,54881.0,81.13743067,0.0,0.0,3.929853439,7.13513419,0.0,0.0,1.123246551,0.963628944,5.71070686,0.0,0.0,0.0,0.0,0.0,0.0
27,Sillica mixtures ,0.603723169,53286.0,82.86655545,0.0,0.0,0.0,10.33628061,0.0,0.0,1.609257236,0.0,5.187905952,0.0,0.0,0.0,0.0,0.0,0.0
28,Sillica mixtures ,1.173966053,58153.0,80.42939305,0.0,0.0,0.998486765,6.481635571,0.0,0.0,0.0,0.0,12.09048554,0.0,0.0,0.0,0.0,0.0,0.0
29,Metallic Fe,0.757666564,56196.0,76.17557645,0.0,0.0,0.0,3.013611585,0.0,0.0,0.0,2.301662602,18.50914359,0.0,0.0,0.0,0.0,0.0,0.0
30,Sillica mixtures ,0.802917769,55326.0,81.43455982,0.0,4.013778269,0.0,7.76854232,0.0,0.0,3.721292689,0.0,3.061835282,0.0,0.0,0.0,0.0,0.0,0.0
31,Sillica mixtures ,1.073626222,58187.0,85.61336398,0.0,0.0,3.304728493,7.58561641,0.0,0.0,0.0,0.0,3.496281803,0.0,0.0,0.0,0.0,0.0,0.0
32,Sillica mixtures ,0.457795759,57349.0,85.17928123,4.450308532,0.0,1.076473668,9.293941408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Sillica mixtures ,1.276235652,54933.0,82.64209628,0.0,0.0,1.012131572,4.718455672,0.0,0.0,0.0,2.463429607,9.163878858,0.0,0.0,0.0,0.0,0.0,0.0
36,False Si ,0.404989814,59126.0,94.92356181,0.0,0.0,0.0,5.076437816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Aluminosillicates+NaCl,3.71639302,58434.0,71.26891017,4.430020601,0.720819086,6.499563903,13.43242079,0.337920571,1.20668048,1.316611189,0.0,0.787053164,0.0,0.0,0.0,0.0,0.0,0.0
38,Sillica mixtures ,0.643892766,54288.0,81.3765645,0.0,0.0,1.31526785,8.620762825,0.0,0.0,2.065799758,0.0,4.485574737,2.136024646,0.0,0.0,0.0,0.0,0.0
39,Sillica mixtures ,0.661345596,57902.0,83.92742872,2.912441827,0.0,3.699647263,7.708451152,0.0,0.0,1.752036251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Metallic Fe,0.363489482,59994.0,83.91836286,0.0,0.0,0.0,2.664655261,0.0,0.0,0.0,0.0,13.41697574,0.0,0.0,0.0,0.0,0.0,0.0
41,Aluminosillicates,2.078794299,62250.0,78.99137735,1.828123443,0.0,5.640021339,10.83941907,0.0,0.0,2.038884163,0.0,0.66217538,0.0,0.0,0.0,0.0,0.0,0.0
42,Sillica mixtures ,0.989719391,55628.0,80.86897135,0.0,1.97216142,3.545836732,8.521739393,0.0,0.0,2.063812129,0.0,3.027476557,0.0,0.0,0.0,0.0,0.0,0.0
43,Aluminosillicates,0.883944324,59360.0,83.32753778,0.0,0.0,4.250174761,9.392084926,0.0,0.0,1.514915936,0.0,1.515290048,0.0,0.0,0.0,0.0,0.0,0.0
44,Aluminosillicates,1.085233329,57212.0,82.57021904,0.0,0.0,5.268610269,6.996880472,0.0,0.0,0.86469911,0.971057825,3.328539431,0.0,0.0,0.0,0.0,0.0,0.0
45,Sillica mixtures ,0.894193297,59089.0,79.59476113,0.0,3.213857114,1.77078452,7.097992301,0.0,0.0,3.902475908,1.062733494,3.357390687,0.0,0.0,0.0,0.0,0.0,0.0
46,Sillica mixtures ,1.199876067,55985.0,75.54056048,0.0,5.362441763,1.533342525,9.270992875,0.0,0.0,4.983768612,0.0,3.308903426,0.0,0.0,0.0,0.0,0.0,0.0
47,Aluminosillicates,2.146191286,60386.0,74.85970259,1.098846644,3.520388156,3.432099149,10.3096731,0.0,0.0,2.970325947,0.361817074,3.447143361,0.0,0.0,0.0,0.0,0.0,0.0
48,Metallic Fe,0.919315974,59019.0,77.99808979,0.0,0.0,0.036975762,2.711701021,0.0,0.0,0.0,6.027862057,13.22537065,0.0,0.0,0.0,0.0,0.0,0.0
49,Aluminosillicates,1.646460561,54971.0,77.39113569,4.195393249,0.0,4.92954962,10.66925824,0.0,0.0,1.707880385,0.0,1.106790081,0.0,0.0,0.0,0.0,0.0,0.0
50,Aluminosillicates,1.06937422,60252.0,78.02884579,4.274680093,0.0,3.535026312,10.20091772,0.0,0.0,1.2432836,0.0,2.717246674,0.0,0.0,0.0,0.0,0.0,0.0
